A total of %1 record(s) have been deleted.,A total of %1 record(s) have been deleted.
An error occurred while deleting record(s).,An error occurred while deleting record(s).
Create New View,Create New View
Delete View,Delete View
Edit View '%1',Edit View '%1'
ID,ID
IP,IP
New View,New View
Please Select Views.,Please Select Views.
Product Categories,Product Categories
Product Id,Product Id
Product Sku,Product Sku
Save View,Save View
Save and Continue Edit,Save and Continue Edit
Session Code,Session Code
Something went wrong while saving the View.,Something went wrong while saving the View.
The View has been deleted.,The View has been deleted.
The View has been saved.,The View has been saved.
This View no longer exists.,This View no longer exists.
View %1,View %1
View Information,View Information
View to delete was not found.,View to delete was not found.
View,View
Views,Views
Also Viewed Product,Also Viewed Product
Also Viewed,Also Viewed
